 num     #instances         #bytes  class name (module)
  87:             8            384  java.lang.invoke.DirectMethodHandle$Constructor (java.base@19.0.1)
  88:            16            384  java.util.ArrayList (java.base@19.0.1)
  89:            12            384  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@19.0.1)
  90:            11            352  jdk.internal.org.objectweb.asm.Type (java.base@19.0.1)
  91:             5            336  [S (java.base@19.0.1)
  92:             5            320  jdk.internal.org.objectweb.asm.SymbolTable (java.base@19.0.1)
  93:             7            280  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@19.0.1)
  94:             5            280  java.nio.HeapCharBuffer (java.base@19.0.1)
  95:             5            280  jdk.internal.org.objectweb.asm.Label (java.base@19.0.1)
  96:             1            272  [Ljava.lang.ClassLoader; (java.base@19.0.1)
  97:             1            272  [Ljava.lang.Module; (java.base@19.0.1)
  98:             1            272  [Ljava.lang.module.ModuleDescriptor; (java.base@19.0.1)
  99:             1            272  [Ljava.lang.module.ModuleReference; (java.base@19.0.1)
 100:             1            272  [Ljdk.internal.module.ModuleHashes; (java.base@19.0.1)
 101:             1            272  [Ljdk.internal.module.ModuleResolution; (java.base@19.0.1)
 102:             1            272  [Ljdk.internal.module.ModuleTarget; (java.base@19.0.1)
 103:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@19.0.1)
 104:            11            264  jdk.internal.org.objectweb.asm.ByteVector (java.base@19.0.1)
 105:            10            240  java.nio.charset.CoderResult (java.base@19.0.1)
 106:             5            240  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@19.0.1)
 107:             8            224  [Ljava.io.ObjectStreamField; (java.base@19.0.1)
 108:             9            216  java.util.regex.Pattern$BmpCharProperty (java.base@19.0.1)
 109:             5            200  java.io.FileDescriptor (java.base@19.0.1)
 110:             5            200  java.security.CodeSource (java.base@19.0.1)
 111:             5            200  java.security.ProtectionDomain (java.base@19.0.1)
 112:             5            200  java.util.WeakHashMap$Entry (java.base@19.0.1)
 113:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@19.0.1)
 114:             4            192  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@19.0.1)
